Company,Starting Price - Monthly,Starting Price - Annually,Pricing Range,Pricing comments,Additional Pricing Info,Website,Contract,Solutions,Unlimited Data Plan,CRM Integrations,SEPI,SalesTeamType,Free Trial,ContactEnrichment,IntentData,Other,location
ZoomInfo,0,11995.00,"Single user Pro Lite: $11,995 – 5,000 credits annually
Professional: $15,995 – Up to 3 users included 5,000 credits/annually
Advanced: $24,995 – Up to 5 users included 10,000 credits annually + 1,000/month/user
Elite: $34,995 – Up to 5 users included",based on users and credits,https://revpilots.com/2022/05/27/zoominfo-pricing/,n/a,Annual,"email, workphone, mobile",,"Microsoft Dynamics,HubSpot,Salesforce,Pipedrive,SugarCRM,Zoho","Outreach,Salesloft","SMB, Mid-Market, Enterprise ",yes,Yes,Yes,"many other add ons, like Chorus.ai, focused on consolidating the sales stack","Domestic,International"
Cognism,0,16500.00,"16,500-27,500+",based on platform fee and users,https://revpilots.com/2022/07/25/cognism-pricing/,n/a,Annual,"email, workphone, mobile",Yes,"Salesforce,HubSpot,Pipedrive,Microsoft Dynamics",Salesloft,"SMB, Mid-Market, Enterprise ",yes,Yes,Yes,International data is strong,International
Uplead,99.00,888.00,"$888 annual, $99 per month, month to month -  $3,588 to $4,788+",based on credits,https://www.uplead.com/pricing/,https://www.uplead.com/pricing/,Annual or Monthly,"email, workphone, mobile",,"Salesforce,HubSpot,Insightly,Pipedrive,Zoho,Microsoft Dynamics,Copper,Nimble","Outreach,Salesloft,Reply,Woodpecker,Lemlist,Close","SMB, Mid-Market, Enterprise ",yes,Yes,Yes,,"Domestic,International"
Lead411,99.00,900.00,"$99 per month, month to month-$1800+ per year annual+",based on credits/contacts,https://www.lead411.com/pricing/,https://www.lead411.com/pricing/,Annual or Monthly,"email, workphone, mobile",,"Salesforce,HubSpot,Pipedrive,Microsoft Dynamics,Insightly,Infusionsoft,Capsule,Nutshell,Zoho,Base,Vtiger",n/a,"SMB, Mid-Market, Enterprise ",yes,Yes,Yes,,"Domestic,International"
Apollo,49.00,0.00,"$49 per month, month to month - $6000 per year+",based on credits/users,https://revpilots.com/2022/05/17/apollo-io-pricing/,https://www.apollo.io/pricing/,Annual or Monthly,"email, workphone, mobile",Yes,"Salesforce,HubSpot","Salesloft,Outreach","SMB, Mid-Market, Enterprise ",yes,Yes,No,"Best overall value, includes a sales engagement platform in the pprice","Domestic,International"
Seamless,0.00,1764.00,$1764 per year to $9528 per year+,based on credits/users,https://revpilots.com/2022/07/26/seamless-ai-pricing/,https://www.seamless.ai/pricing,Annual,"email, workphone, mobile",,"Salesforce,HubSpot,Microsoft Dynamics,Keap,Zoho,Pipedrive,Copper,SugarCRM,Freshsales","Salesloft,Outreach","SMB, Mid-Market",yes,Yes,No,,"Domestic,International"
RocketReach,80.00,468.00,$80 per month to $6000 per year+,based on credits/users,https://revpilots.com/2022/07/20/rocketreach-pricing/,https://rocketreach.co/pricing,Annual or Monthly,"email, workphone, mobile",Yes,"Salesforce,HubSpot","Salesloft,Outreach","SMB, Mid-Market",yes,No,No,,"Domestic,International"
Lusha,39.00,348.00,"$39 per monmth to $1,140 per year+",based on credits/users,https://revpilots.com/2022/06/04/lusha-pricing/,https://www.lusha.com/pricing/,Annual or Monthly,"email, workphone",No,"Salesforce,HubSpot","Salesloft,Outreach",SMB,yes,Yes,No,"for SMBs, GDPR compliant","Domestic,International"
Crunchbase,0.00,348.00,$348,based on credits/users,,https://www.crunchbase.com/buy/select-product,Annual or Monthly,email,,Salesforce,n/a,"SMB, Mid-Market, Enterprise ",yes,No,No,best for targeting startups,"Domestic,International"
Snov.io,39.00,396.00,"$39 per month to & 7,380",based on credits/users,,https://snov.io/pricing,Annual,email,,,"HubSpot,Salesforce,Pipedrive,Nutshell,Zoho,Freshworks","SMB, Mid-Market",yes,No,No,great value for email only,"Domestic,International"
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
